[2026-06-08 18:09:50] | File: ./kimodo-gen/test260608_p01_r1.bvh | Stage: Kimodo_Inference | Duration: 2.664s
[2026-06-09 11:51:05] | File: test260609_A_v08_sinks_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 4.637s
[2026-06-09 11:51:06] | File: test260609_A_v08_sinks_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.122s
[2026-06-09 11:51:08] | File: ./kimodo-gen/test260609_A_v08_sinks_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 3.061s
[2026-06-09 11:51:08] | File: ./kimodo-gen/test260609_A_v08_sinks_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-09 11:51:08] | File: test260609_A_v08_sinks_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 2.150s
[2026-06-09 11:51:10] | File: test260609_A_v08_sinks_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.087s
[2026-06-09 11:51:11] | File: ./kimodo-gen/test260609_A_v09_strides_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.498s
[2026-06-09 11:51:11] | File: ./kimodo-gen/test260609_A_v09_strides_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.185s
[2026-06-09 11:51:12] | File: test260609_A_v09_strides_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.994s
[2026-06-09 11:51:13] | File: test260609_A_v09_strides_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.103s
[2026-06-09 11:51:14] | File: ./kimodo-gen/test260609_A_v09_strides_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.487s
[2026-06-09 11:51:14] | File: ./kimodo-gen/test260609_A_v09_strides_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-09 11:51:15] | File: test260609_A_v09_strides_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.948s
[2026-06-09 11:51:16] | File: test260609_A_v09_strides_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.126s
[2026-06-09 11:51:17] | File: ./kimodo-gen/test260609_A_v09_strides_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.500s
[2026-06-09 11:51:17] | File: ./kimodo-gen/test260609_A_v09_strides_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-09 11:51:18] | File: test260609_A_v09_strides_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.921s
[2026-06-09 11:51:19] | File: test260609_A_v09_strides_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.092s
[2026-06-09 11:51:20] | File: ./kimodo-gen/test260609_A_v10_walks_ctx2_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.497s
[2026-06-09 11:51:21] | File: ./kimodo-gen/test260609_A_v10_walks_ctx2_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.086s
[2026-06-09 11:51:21] | File: test260609_A_v10_walks_ctx2_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.891s
[2026-06-09 11:51:22] | File: test260609_A_v10_walks_ctx2_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.198s
[2026-06-09 11:51:24] | File: ./kimodo-gen/test260609_A_v10_walks_ctx2_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.485s
[2026-06-09 11:51:24] | File: ./kimodo-gen/test260609_A_v10_walks_ctx2_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-09 11:51:24] | File: test260609_A_v10_walks_ctx2_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.767s
[2026-06-09 11:51:25] | File: test260609_A_v10_walks_ctx2_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.145s
[2026-06-09 11:51:27] | File: ./kimodo-gen/test260609_A_v10_walks_ctx2_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.534s
[2026-06-09 11:51:27] | File: ./kimodo-gen/test260609_A_v10_walks_ctx2_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.086s
[2026-06-09 11:51:27] | File: test260609_A_v10_walks_ctx2_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.737s
[2026-06-09 11:51:28] | File: test260609_A_v10_walks_ctx2_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.088s
[2026-06-09 11:51:30] | File: ./kimodo-gen/test260609_B_X_posture_first_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.484s
[2026-06-09 11:51:30] | File: ./kimodo-gen/test260609_B_X_posture_first_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.189s
[2026-06-09 11:51:30] | File: test260609_B_X_posture_first_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.815s
[2026-06-09 11:51:32] | File: test260609_B_X_posture_first_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.057s
[2026-06-09 11:51:33] | File: ./kimodo-gen/test260609_B_X_posture_first_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.504s
[2026-06-09 11:51:33] | File: ./kimodo-gen/test260609_B_X_posture_first_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-09 11:51:33] | File: test260609_B_X_posture_first_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.863s
[2026-06-09 11:51:35] | File: test260609_B_X_posture_first_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.098s
[2026-06-09 11:51:36] | File: ./kimodo-gen/test260609_B_X_posture_first_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.497s
[2026-06-09 11:51:36] | File: ./kimodo-gen/test260609_B_X_posture_first_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-09 11:51:37] | File: test260609_B_X_posture_first_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.835s
[2026-06-09 11:51:38] | File: test260609_B_X_posture_first_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.052s
[2026-06-09 11:51:39] | File: ./kimodo-gen/test260609_B_X_verb_first_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.492s
[2026-06-09 11:51:39] | File: ./kimodo-gen/test260609_B_X_verb_first_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.089s
[2026-06-09 11:51:40] | File: test260609_B_X_verb_first_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.859s
[2026-06-09 11:51:41] | File: test260609_B_X_verb_first_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.067s
[2026-06-09 11:51:42] | File: ./kimodo-gen/test260609_B_X_verb_first_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.498s
[2026-06-09 11:51:42] | File: ./kimodo-gen/test260609_B_X_verb_first_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.086s
[2026-06-09 11:51:43] | File: test260609_B_X_verb_first_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.871s
[2026-06-09 11:51:44] | File: test260609_B_X_verb_first_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.071s
[2026-06-09 11:51:45] | File: ./kimodo-gen/test260609_B_X_verb_first_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.497s
[2026-06-09 11:51:45] | File: ./kimodo-gen/test260609_B_X_verb_first_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-09 11:51:46] | File: test260609_B_X_verb_first_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.894s
[2026-06-09 11:51:47] | File: test260609_B_X_verb_first_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.085s
[2026-06-09 11:51:48] | File: ./kimodo-gen/test260609_B_X_end_placed_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.499s
[2026-06-09 11:51:48] | File: ./kimodo-gen/test260609_B_X_end_placed_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.088s
[2026-06-09 11:51:49] | File: test260609_B_X_end_placed_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.865s
[2026-06-09 11:51:50] | File: test260609_B_X_end_placed_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.111s
[2026-06-09 11:51:51] | File: ./kimodo-gen/test260609_B_X_end_placed_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.482s
[2026-06-09 11:51:52] | File: ./kimodo-gen/test260609_B_X_end_placed_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.088s
[2026-06-09 11:51:52] | File: test260609_B_X_end_placed_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.822s
[2026-06-09 11:51:53] | File: test260609_B_X_end_placed_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.091s
[2026-06-09 11:51:55] | File: ./kimodo-gen/test260609_B_X_end_placed_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.538s
[2026-06-09 11:51:55] | File: ./kimodo-gen/test260609_B_X_end_placed_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.184s
[2026-06-09 11:51:55] | File: test260609_B_X_end_placed_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.941s
[2026-06-09 11:51:56] | File: test260609_B_X_end_placed_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.100s
[2026-06-09 11:51:58] | File: ./kimodo-gen/test260609_B_Y_posture_first_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.613s
[2026-06-09 11:51:58] | File: ./kimodo-gen/test260609_B_Y_posture_first_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.092s
[2026-06-09 11:51:58] | File: test260609_B_Y_posture_first_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 2.039s
[2026-06-09 11:52:00] | File: test260609_B_Y_posture_first_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.079s
[2026-06-09 11:52:01] | File: ./kimodo-gen/test260609_B_Y_posture_first_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.515s
[2026-06-09 11:52:01] | File: ./kimodo-gen/test260609_B_Y_posture_first_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.089s
[2026-06-09 11:52:02] | File: test260609_B_Y_posture_first_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.750s
[2026-06-09 11:52:03] | File: test260609_B_Y_posture_first_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.162s
[2026-06-09 11:52:04] | File: ./kimodo-gen/test260609_B_Y_posture_first_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.510s
[2026-06-09 11:52:04] | File: ./kimodo-gen/test260609_B_Y_posture_first_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.086s
[2026-06-09 11:52:05] | File: test260609_B_Y_posture_first_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.655s
[2026-06-09 11:52:06] | File: test260609_B_Y_posture_first_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.111s
[2026-06-09 11:52:07] | File: ./kimodo-gen/test260609_B_Y_verb_first_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.500s
[2026-06-09 11:52:07] | File: ./kimodo-gen/test260609_B_Y_verb_first_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.089s
[2026-06-09 11:52:08] | File: test260609_B_Y_verb_first_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.942s
[2026-06-09 11:52:09] | File: test260609_B_Y_verb_first_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.107s
[2026-06-09 11:52:10] | File: ./kimodo-gen/test260609_B_Y_verb_first_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.512s
[2026-06-09 11:52:10] | File: ./kimodo-gen/test260609_B_Y_verb_first_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.084s
[2026-06-09 11:52:11] | File: test260609_B_Y_verb_first_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.911s
[2026-06-09 11:52:12] | File: test260609_B_Y_verb_first_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.179s
[2026-06-09 11:52:13] | File: ./kimodo-gen/test260609_B_Y_verb_first_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.516s
[2026-06-09 11:52:14] | File: ./kimodo-gen/test260609_B_Y_verb_first_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-09 11:52:14] | File: test260609_B_Y_verb_first_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.817s
[2026-06-09 11:52:15] | File: test260609_B_Y_verb_first_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.144s
[2026-06-09 11:52:17] | File: ./kimodo-gen/test260609_B_Y_end_placed_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.504s
[2026-06-09 11:52:17] | File: ./kimodo-gen/test260609_B_Y_end_placed_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.192s
[2026-06-09 11:52:17] | File: test260609_B_Y_end_placed_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.874s
[2026-06-09 11:52:18] | File: test260609_B_Y_end_placed_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.107s
[2026-06-09 11:52:20] | File: ./kimodo-gen/test260609_B_Y_end_placed_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.640s
[2026-06-09 11:52:20] | File: ./kimodo-gen/test260609_B_Y_end_placed_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.088s
[2026-06-09 11:52:20] | File: test260609_B_Y_end_placed_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.970s
[2026-06-09 11:52:22] | File: test260609_B_Y_end_placed_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.196s
[2026-06-09 11:52:23] | File: ./kimodo-gen/test260609_B_Y_end_placed_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.511s
[2026-06-09 11:52:23] | File: ./kimodo-gen/test260609_B_Y_end_placed_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-09 11:52:23] | File: test260609_B_Y_end_placed_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.884s
[2026-06-09 11:52:25] | File: test260609_B_Y_end_placed_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.192s
[2026-06-09 11:52:26] | File: ./kimodo-gen/test260609_B_Z_posture_first_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.522s
[2026-06-09 11:52:26] | File: ./kimodo-gen/test260609_B_Z_posture_first_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-09 11:52:27] | File: test260609_B_Z_posture_first_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.794s
[2026-06-09 11:52:28] | File: test260609_B_Z_posture_first_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.159s
[2026-06-09 11:52:29] | File: ./kimodo-gen/test260609_B_Z_posture_first_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.632s
[2026-06-09 11:52:29] | File: ./kimodo-gen/test260609_B_Z_posture_first_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-09 11:52:30] | File: test260609_B_Z_posture_first_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.851s
[2026-06-09 11:52:31] | File: test260609_B_Z_posture_first_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.085s
[2026-06-09 11:52:33] | File: ./kimodo-gen/test260609_B_Z_posture_first_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.630s
[2026-06-09 11:52:33] | File: ./kimodo-gen/test260609_B_Z_posture_first_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.089s
[2026-06-09 11:52:33] | File: test260609_B_Z_posture_first_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.990s
[2026-06-09 11:52:34] | File: test260609_B_Z_posture_first_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.092s
[2026-06-09 11:52:36] | File: ./kimodo-gen/test260609_B_Z_verb_first_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.604s
[2026-06-09 11:52:36] | File: ./kimodo-gen/test260609_B_Z_verb_first_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-09 11:52:36] | File: test260609_B_Z_verb_first_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 2.088s
[2026-06-09 11:52:38] | File: test260609_B_Z_verb_first_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.144s
[2026-06-09 11:52:39] | File: ./kimodo-gen/test260609_B_Z_verb_first_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.586s
[2026-06-09 11:52:39] | File: ./kimodo-gen/test260609_B_Z_verb_first_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.090s
[2026-06-09 11:52:39] | File: test260609_B_Z_verb_first_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.796s
[2026-06-09 11:52:41] | File: test260609_B_Z_verb_first_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.245s
[2026-06-09 11:52:42] | File: ./kimodo-gen/test260609_B_Z_verb_first_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.588s
[2026-06-09 11:52:42] | File: ./kimodo-gen/test260609_B_Z_verb_first_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.185s
[2026-06-09 11:52:43] | File: test260609_B_Z_verb_first_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.816s
[2026-06-09 11:52:44] | File: test260609_B_Z_verb_first_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.205s
[2026-06-09 11:52:45] | File: ./kimodo-gen/test260609_B_Z_end_placed_r1bvh.bvh | Stage: Kimodo_Inference | Duration: 2.587s
[2026-06-09 11:52:45] | File: ./kimodo-gen/test260609_B_Z_end_placed_r1bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.088s
[2026-06-09 11:52:46] | File: test260609_B_Z_end_placed_r1bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.788s
[2026-06-09 11:52:47] | File: test260609_B_Z_end_placed_r1bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.172s
[2026-06-09 11:52:49] | File: ./kimodo-gen/test260609_B_Z_end_placed_r2bvh.bvh | Stage: Kimodo_Inference | Duration: 2.645s
[2026-06-09 11:52:49] | File: ./kimodo-gen/test260609_B_Z_end_placed_r2bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.088s
[2026-06-09 11:52:49] | File: test260609_B_Z_end_placed_r2bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.832s
[2026-06-09 11:52:50] | File: test260609_B_Z_end_placed_r2bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.082s
[2026-06-09 11:52:52] | File: ./kimodo-gen/test260609_B_Z_end_placed_r3bvh.bvh | Stage: Kimodo_Inference | Duration: 2.634s
[2026-06-09 11:52:52] | File: ./kimodo-gen/test260609_B_Z_end_placed_r3bvh.bvh | Stage: Kimodo_BVH_Export | Duration: 0.091s
[2026-06-09 11:52:52] | File: test260609_B_Z_end_placed_r3bvh.bvh | Stage: Blender_Process_And_Export | Duration: 1.968s
[2026-06-09 11:52:53] | File: test260609_B_Z_end_placed_r3bvh.fbx | Stage: Unreal_Import_And_Retarget | Duration: 1.083s
[2026-06-11 15:55:28] | File: ./kimodo-gen/test260611_v1_sadly_r1.bvh | Stage: Kimodo_Inference | Duration: 3.372s
[2026-06-11 15:55:28] | File: ./kimodo-gen/test260611_v1_sadly_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.241s
[2026-06-11 15:55:29] | File: test260611_v1_sadly_r1.bvh | Stage: Blender_Process_And_Export | Duration: 145.452s
[2026-06-11 15:55:32] | File: ./kimodo-gen/test260611_v1_sadly_r2.bvh | Stage: Kimodo_Inference | Duration: 2.609s
[2026-06-11 15:55:32] | File: ./kimodo-gen/test260611_v1_sadly_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.120s
[2026-06-11 15:55:34] | File: test260611_v1_sadly_r2.bvh | Stage: Blender_Process_And_Export | Duration: 0.429s
[2026-06-11 15:55:35] | File: ./kimodo-gen/test260611_v1_sadly_r3.bvh | Stage: Kimodo_Inference | Duration: 2.669s
[2026-06-11 15:55:35] | File: ./kimodo-gen/test260611_v1_sadly_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.083s
[2026-06-11 15:55:37] | File: test260611_v1_sadly_r3.bvh | Stage: Blender_Process_And_Export | Duration: 0.400s
[2026-06-11 15:55:38] | File: ./kimodo-gen/test260611_v1_joyfully_r1.bvh | Stage: Kimodo_Inference | Duration: 2.619s
[2026-06-11 15:55:38] | File: ./kimodo-gen/test260611_v1_joyfully_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.095s
[2026-06-11 15:55:41] | File: test260611_v1_joyfully_r1.bvh | Stage: Blender_Process_And_Export | Duration: 0.376s
[2026-06-11 15:55:41] | File: ./kimodo-gen/test260611_v1_joyfully_r2.bvh | Stage: Kimodo_Inference | Duration: 2.598s
[2026-06-11 15:55:41] | File: ./kimodo-gen/test260611_v1_joyfully_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.157s
[2026-06-11 15:55:44] | File: test260611_v1_joyfully_r2.bvh | Stage: Blender_Process_And_Export | Duration: 0.380s
[2026-06-11 15:55:45] | File: ./kimodo-gen/test260611_v1_joyfully_r3.bvh | Stage: Kimodo_Inference | Duration: 2.608s
[2026-06-11 15:55:45] | File: ./kimodo-gen/test260611_v1_joyfully_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.081s
[2026-06-11 15:55:48] | File: ./kimodo-gen/test260611_v1_frantically_r1.bvh | Stage: Kimodo_Inference | Duration: 2.647s
[2026-06-11 15:55:48] | File: ./kimodo-gen/test260611_v1_frantically_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.089s
[2026-06-11 15:55:48] | File: test260611_v1_joyfully_r3.bvh | Stage: Blender_Process_And_Export | Duration: 0.355s
[2026-06-11 15:55:51] | File: ./kimodo-gen/test260611_v1_frantically_r2.bvh | Stage: Kimodo_Inference | Duration: 2.671s
[2026-06-11 15:55:51] | File: ./kimodo-gen/test260611_v1_frantically_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.084s
[2026-06-11 15:55:52] | File: test260611_v1_frantically_r1.bvh | Stage: Blender_Process_And_Export | Duration: 0.369s
[2026-06-11 15:55:54] | File: ./kimodo-gen/test260611_v1_frantically_r3.bvh | Stage: Kimodo_Inference | Duration: 2.652s
[2026-06-11 15:55:54] | File: ./kimodo-gen/test260611_v1_frantically_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.087s
[2026-06-11 15:55:56] | File: test260611_v1_frantically_r2.bvh | Stage: Blender_Process_And_Export | Duration: 0.390s
[2026-06-11 15:55:58] | File: ./kimodo-gen/test260611_v1_languidly_r1.bvh | Stage: Kimodo_Inference | Duration: 2.646s
[2026-06-11 15:55:58] | File: ./kimodo-gen/test260611_v1_languidly_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.085s
[2026-06-11 15:56:00] | File: test260611_v1_frantically_r3.bvh | Stage: Blender_Process_And_Export | Duration: 0.382s
[2026-06-11 15:56:01] | File: ./kimodo-gen/test260611_v1_languidly_r2.bvh | Stage: Kimodo_Inference | Duration: 2.663s
[2026-06-11 15:56:01] | File: ./kimodo-gen/test260611_v1_languidly_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.084s
[2026-06-11 15:56:04] | File: ./kimodo-gen/test260611_v1_languidly_r3.bvh | Stage: Kimodo_Inference | Duration: 2.662s
[2026-06-11 15:56:04] | File: ./kimodo-gen/test260611_v1_languidly_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.095s
[2026-06-11 15:56:04] | File: test260611_v1_languidly_r1.bvh | Stage: Blender_Process_And_Export | Duration: 0.375s
[2026-06-11 15:56:07] | File: ./kimodo-gen/test260611_v1_heavily_r1.bvh | Stage: Kimodo_Inference | Duration: 2.693s
[2026-06-11 15:56:07] | File: ./kimodo-gen/test260611_v1_heavily_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.083s
[2026-06-11 15:56:08] | File: test260611_v1_languidly_r2.bvh | Stage: Blender_Process_And_Export | Duration: 0.374s
[2026-06-11 15:56:11] | File: ./kimodo-gen/test260611_v1_heavily_r2.bvh | Stage: Kimodo_Inference | Duration: 2.619s
[2026-06-11 15:56:11] | File: ./kimodo-gen/test260611_v1_heavily_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.086s
[2026-06-11 15:56:12] | File: test260611_v1_languidly_r3.bvh | Stage: Blender_Process_And_Export | Duration: 0.403s
[2026-06-11 15:56:14] | File: ./kimodo-gen/test260611_v1_heavily_r3.bvh | Stage: Kimodo_Inference | Duration: 2.648s
[2026-06-11 15:56:14] | File: ./kimodo-gen/test260611_v1_heavily_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.086s
[2026-06-11 15:56:15] | File: test260611_v1_heavily_r1.bvh | Stage: Blender_Process_And_Export | Duration: 0.404s
[2026-06-11 15:56:17] | File: ./kimodo-gen/test260611_v1_lightly_r1.bvh | Stage: Kimodo_Inference | Duration: 2.628s
[2026-06-11 15:56:17] | File: ./kimodo-gen/test260611_v1_lightly_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.085s
[2026-06-11 15:56:19] | File: test260611_v1_heavily_r2.bvh | Stage: Blender_Process_And_Export | Duration: 0.381s
[2026-06-11 15:56:20] | File: ./kimodo-gen/test260611_v1_lightly_r2.bvh | Stage: Kimodo_Inference | Duration: 2.626s
[2026-06-11 15:56:20] | File: ./kimodo-gen/test260611_v1_lightly_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.084s
[2026-06-11 15:56:23] | File: test260611_v1_heavily_r3.bvh | Stage: Blender_Process_And_Export | Duration: 0.396s
[2026-06-11 15:56:24] | File: ./kimodo-gen/test260611_v1_lightly_r3.bvh | Stage: Kimodo_Inference | Duration: 2.658s
[2026-06-11 15:56:24] | File: ./kimodo-gen/test260611_v1_lightly_r3.bvh | Stage: Kimodo_BVH_Export | Duration: 0.082s
[2026-06-11 15:56:27] | File: ./kimodo-gen/test260611_v1_hesitantly_r1.bvh | Stage: Kimodo_Inference | Duration: 2.654s
[2026-06-11 15:56:27] | File: ./kimodo-gen/test260611_v1_hesitantly_r1.bvh | Stage: Kimodo_BVH_Export | Duration: 0.088s
[2026-06-11 15:56:27] | File: test260611_v1_lightly_r1.bvh | Stage: Blender_Process_And_Export | Duration: 0.362s
[2026-06-11 15:56:30] | File: ./kimodo-gen/test260611_v1_hesitantly_r2.bvh | Stage: Kimodo_Inference | Duration: 2.607s
[2026-06-11 15:56:30] | File: ./kimodo-gen/test260611_v1_hesitantly_r2.bvh | Stage: Kimodo_BVH_Export | Duration: 0.083s
[2026-06-11 15:56:31] | File: test260611_v1_lightly_r2.bvh | Stage: Blender_Process_And_Export | Duration: 0.374s
[2026-06-11 15:56:33] | File: ./kimodo-gen/test260611_v1_hesitantly_r3.bvh | Stage: Kimodo_Inference | Duration: 2.561s
